pid,worker,iteration,target,best_target,acq_params,lr,w,layers,neurons
24540,2,5,265.75,367.75,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 24, 'kappa': 2.5118864315095806, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.005648966601210283,13.385938048122584,1,64
20988,3,5,281.75,367.75,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 24, 'kappa': 2.5118864315095806, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.013961908050925748,9.799900771044673,2,64
5668,0,6,365.25,367.75,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 28, 'kappa': 1.99526231496888, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.0004607224231917688,56.26840479684465,1,128
17692,1,6,342.0,367.75,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 28, 'kappa': 1.99526231496888, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.0054735867970752755,7.8961030407307335,2,32
19752,2,6,357.0,367.75,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 28, 'kappa': 1.99526231496888, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.0017353502463819765,57.79628251045607,1,256
2292,3,6,357.5,367.75,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 28, 'kappa': 1.99526231496888, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.0012589250640917462,70.84639460998484,2,128
18780,0,7,353.25,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 32, 'kappa': 1.5848931924611136, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.00044399542800515555,36.67237568325845,1,256
17596,1,7,389.5,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 32, 'kappa': 1.5848931924611136, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.005235915143271862,9.225358946419789,2,64
19352,2,7,156.5,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 32, 'kappa': 1.5848931924611136, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.0004841060150559573,44.06186868147372,1,256
7660,3,7,336.0,367.75,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 32, 'kappa': 1.5848931924611136, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.006858067560705596,3.555216688217575,2,64
9744,0,8,347.25,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 36, 'kappa': 1.2589254117941673, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.00022781414501928896,15.04655194048751,1,256
22900,1,8,351.0,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 36, 'kappa': 1.2589254117941673, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.003817605382308187,43.27442610799099,2,64
10436,2,8,356.75,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 36, 'kappa': 1.2589254117941673, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.007310179185228192,27.91449893367411,2,32
22884,3,8,284.0,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 36, 'kappa': 1.2589254117941673, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.010381147914811475,53.857541871244884,2,32
13792,0,9,332.75,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 40, 'kappa': 1.0000000000000002, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.005440732782377578,12.4006573927765,2,64
15528,1,9,305.0,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 40, 'kappa': 1.0000000000000002, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.0004479194282439389,26.879888875351263,1,256
19220,2,9,363.5,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 40, 'kappa': 1.0000000000000002, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.0008706774313272412,16.68354415500404,1,256
9876,3,9,196.0,389.5,"{'random_state': RandomState(MT19937) at 0x114C6D4A140, 'i': 40, 'kappa': 1.0000000000000002, 'exploration_decay': 0.9440608762859234, 'exploration_decay_delay': 0}",0.7642007746118767,2.222417056827939,2,4
